candidate,is_trades,is_win_rate_pct,is_net_profit,is_roi_pct,is_pf,is_average_r,is_average_win_loss_ratio,is_max_drawdown_pct,is_max_win_streak,is_max_loss_streak,is_average_holding_minutes,is_total_cost,is_final_equity,is_long_trades,is_long_net,is_long_pf,is_short_trades,is_short_net,is_short_pf,oos_trades,oos_win_rate_pct,oos_net_profit,oos_roi_pct,oos_pf,oos_average_r,oos_average_win_loss_ratio,oos_max_drawdown_pct,oos_max_win_streak,oos_max_loss_streak,oos_average_holding_minutes,oos_total_cost,oos_final_equity,oos_long_trades,oos_long_net,oos_long_pf,oos_short_trades,oos_short_net,oos_short_pf,overall_trades,overall_win_rate_pct,overall_net_profit,overall_roi_pct,overall_pf,overall_average_r,overall_average_win_loss_ratio,overall_max_drawdown_pct,overall_max_win_streak,overall_max_loss_streak,overall_average_holding_minutes,overall_total_cost,overall_final_equity,overall_long_trades,overall_long_net,overall_long_pf,overall_short_trades,overall_short_net,overall_short_pf,selection_score
c001,113,41.59,-572.83,-5.73,0.833,-0.1025,1.17,9.08,4,8,106.19,425.08,9427.17,55,-722.26,0.609,58,149.43,1.094,66,43.94,-218.99,-2.19,0.888,-0.0639,1.133,4.84,6,4,123.86,294.64,9781.01,28,-180.43,0.796,38,-38.56,0.964,179,42.46,-784.06,-7.84,0.853,-0.0882,1.157,9.41,4,8,112.71,709.81,9215.94,83,-890.66,0.67,96,106.59,1.04,8.673311462007964
c005,85,44.71,-189.06,-1.89,0.924,-0.0423,1.143,4.37,3,5,107.47,347.24,9810.94,48,-172.12,0.879,37,-16.95,0.984,49,40.82,-309.41,-3.09,0.795,-0.1238,1.153,5.26,4,6,108.98,202.75,9690.59,22,-70.16,0.894,27,-239.25,0.718,134,43.28,-495.51,-4.96,0.876,-0.0721,1.148,7.46,3,6,108.02,547.75,9504.49,70,-239.71,0.885,64,-255.81,0.867,8.431459078538628
c007,85,44.71,-190.15,-1.9,0.924,-0.0426,1.143,4.38,3,5,106.59,348.38,9809.85,48,-173.06,0.879,37,-17.09,0.984,49,42.86,-246.32,-2.46,0.837,-0.0977,1.116,4.62,4,6,114.49,203.67,9753.68,22,-71.27,0.893,27,-175.05,0.793,134,44.03,-435.3,-4.35,0.891,-0.0627,1.133,6.85,3,6,109.48,549.81,9564.7,70,-241.73,0.884,64,-193.57,0.899,8.431259078538629
c003,115,40.87,-730.98,-7.31,0.796,-0.1288,1.151,10.64,4,8,104.35,434.22,9269.02,56,-828.06,0.576,59,97.08,1.06,67,44.78,-212.9,-2.13,0.894,-0.0606,1.103,4.76,6,5,125.37,301.37,9787.1,28,-182.02,0.795,39,-30.88,0.972,182,42.31,-937.53,-9.38,0.831,-0.1037,1.133,10.92,4,8,112.09,723.9,9062.47,84,-997.08,0.644,98,59.55,1.022,8.323349014631832
c002,112,29.46,-773.69,-7.74,0.773,-0.1382,1.85,11.44,3,11,131.92,423.43,9226.31,55,-1013.38,0.46,57,239.69,1.157,63,25.4,-667.87,-6.68,0.657,-0.2121,1.93,9.32,2,9,144.29,280.64,9332.13,25,-326.26,0.592,38,-341.61,0.702,175,28.0,-1414.52,-14.15,0.733,-0.1648,1.885,15.68,3,11,136.37,693.51,8585.48,80,-1319.59,0.5,95,-94.92,0.964,7.951863053811715
c004,113,29.2,-879.47,-8.79,0.749,-0.1565,1.816,12.49,3,11,129.56,431.81,9120.53,56,-1118.75,0.435,57,239.28,1.157,63,25.4,-666.97,-6.67,0.657,-0.2118,1.931,9.31,2,9,150.71,279.72,9333.03,25,-326.27,0.592,38,-340.71,0.703,176,27.84,-1516.03,-15.16,0.719,-0.1763,1.863,16.69,3,11,137.13,699.61,8483.97,81,-1422.88,0.481,95,-93.16,0.965,7.712179213738253
c006,84,29.76,-478.66,-4.79,0.806,-0.1119,1.902,6.04,2,8,135.18,345.51,9521.34,48,-426.08,0.706,36,-52.59,0.948,47,25.53,-520.95,-5.21,0.65,-0.2207,1.895,7.51,2,9,123.51,191.39,9479.05,20,-227.85,0.635,27,-293.1,0.66,131,28.24,-991.4,-9.91,0.748,-0.1509,1.899,11.23,2,12,130.99,534.07,9008.6,68,-648.47,0.686,63,-342.94,0.816,7.266312020268814
c008,84,29.76,-479.68,-4.8,0.805,-0.1122,1.901,6.05,2,8,133.21,346.66,9520.32,48,-426.94,0.706,36,-52.73,0.948,47,25.53,-521.23,-5.21,0.65,-0.2208,1.894,7.51,2,9,130.21,191.68,9478.77,20,-227.77,0.635,27,-293.46,0.66,131,28.24,-992.68,-9.93,0.747,-0.1511,1.899,11.24,2,12,132.14,535.52,9007.32,68,-649.24,0.685,63,-343.44,0.816,7.256946868878902
